dict,L,k1,root_signal,dhatupatha_source,gana,pada,transitivity,causative,set,anit,vet,anubandhas,gloss_snippet
krm,1638,vFY,annotation,(annotation-only),kryadi,ubhayapada,sakarmaka,0,1,0,0,,(IX<s>-kryAdiH</s>-1486. <s>saka</s>. <s>sew</s>. <s>uBa</s>
krm,1640,veRf,annotation,(annotation-only),bhvadi,ubhayapada,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-877. <s>saka</s>. <s>sew</s>. <s>uBa</s>.)
krm,1642,vepf,annotation,(annotation-only),bhvadi,,akarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-367. <s>aka</s>. <s>sew</s>. <s>Atma</s>.)
krm,1643,vela,annotation,(annotation-only),curadi,ubhayapada,sakarmaka,0,1,0,0,,(X<s>-curAdiH</s>-1881. <s>saka</s>. <s>sew</s>. <s>uBa</s>.
krm,1644,velf,annotation,(annotation-only),bhvadi,parasmaipada,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-535. <s>saka</s>. <s>sew</s>. <s>para</s>.)
krm,1645,vella,both,dhatupatha,bhvadi,parasmaipada,akarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-540. <s>aka</s>. <s>sew</s>. <s>para</s>.)
krm,1646,vevIN,annotation,(annotation-only),adadi,,sakarmaka,0,1,0,0,,(II<s>-adAdiH</s>-1077. <s>saka</s>. <s>sew</s>. <s>Atma</s>
krm,1647,vezwa,annotation,(annotation-only),bhvadi,,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-255. <s>saka</s>. <s>sew</s>. <s>Atma</s>.)
krm,1648,vesf,annotation,(annotation-only),bhvadi,parasmaipada,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-720. <s>saka</s>. <s>sew</s>. <s>para</s>.)
krm,1649,vehf,annotation,(annotation-only),bhvadi,,akarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-643. <s>aka</s>. <s>sew</s>. <s>Atma</s>.)
krm,1651,vyaca,both,dhatupatha,tudadi,parasmaipada,sakarmaka,0,1,0,0,,(VI<s>-tudAdiH</s>-1293. <s>saka</s>. <s>sew</s>. <s>para</s
krm,1652,vyaTa,annotation,(annotation-only),bhvadi,,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-764. <s>saka</s>. <s>sew</s>. <s>Atma</s>.)
krm,1654,vyaya,annotation,(annotation-only),bhvadi,ubhayapada,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-881. <s>saka</s>. <s>sew</s>. <s>uBa</s>.)
krm,1655,vyaya,both,dhatupatha,curadi,ubhayapada,sakarmaka,0,1,0,0,,(X<s>-curAdiH</s>-1932. <s>saka</s>. <s>sew</s>. <s>uBa</s>.
krm,1656,vyuza,annotation,(annotation-only),divadi,parasmaipada,sakarmaka,0,1,0,0,,(IV<s>-divAdiH</s>-1114. <s>saka</s>. <s>sew</s>. <s>para</s
krm,1657,vyuza,annotation,(annotation-only),divadi,parasmaipada,sakarmaka,0,1,0,0,,(IV<s>-divAdiH</s>-1215. <s>saka</s>. <s>sew</s>. <s>para</s
krm,1659,vraja,annotation,(annotation-only),bhvadi,parasmaipada,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-253. <s>saka</s>. <s>sew</s>. <s>para</s>.)
krm,1660,vraja,both,dhatupatha,curadi,ubhayapada,sakarmaka,0,1,0,0,,(X<s>-curAdiH</s>. <s>saka</s>. <s>sew</s>. <s>uBa</s>.) <di
