dict,view,rule,units,segments,descents_raw,descent_rate_raw,descents,descent_rate,displaced,displaced_rate
mw,main,M-m/Hi-sib/Hf-drop/G-keep,32683,1,1234,0.037758,1234,0.037758,2241,0.068568
mw,main,M-m/Hi-sib/Hf-drop/G-degem,32683,1,1235,0.037788,1235,0.037788,2242,0.068598
mw,main,M-m/Hi-s/Hf-slot/G-keep,32683,1,1249,0.038217,1249,0.038217,2266,0.069333
mw,main,M-m/Hi-s/Hf-slot/G-degem,32683,1,1250,0.038247,1250,0.038247,2267,0.069363
mw,main,M-m/Hi-s/Hf-s/G-keep,32683,1,1251,0.038278,1251,0.038278,2271,0.069486
mw,main,M-m/Hi-s/Hf-s/G-degem,32683,1,1252,0.038309,1252,0.038309,2272,0.069516
mw,main,M-m/Hi-s/Hf-drop/G-keep,32683,1,1249,0.038217,1249,0.038217,2266,0.069333
mw,main,M-m/Hi-s/Hf-drop/G-degem,32683,1,1250,0.038247,1250,0.038247,2267,0.069363
mw,main,ascii,32683,21,13112,0.401199,13092,0.400833,28105,0.859927
mw,main,roman,32683,713,11921,0.364757,11209,0.35061,18157,0.555549
pwg,all,M-pos/Hi-pos/Hf-slot/G-keep,120172,10,1163,0.009678,1154,0.009604,2927,0.024357
pwg,all,M-pos/Hi-pos/Hf-slot/G-degem,120172,10,1171,0.009744,1162,0.00967,2941,0.024473
pwg,all,M-pos/Hi-pos/Hf-s/G-keep,120172,10,1163,0.009678,1154,0.009604,2927,0.024357
pwg,all,M-pos/Hi-pos/Hf-s/G-degem,120172,10,1171,0.009744,1162,0.00967,2941,0.024473
pwg,all,M-pos/Hi-pos/Hf-drop/G-keep,120172,10,1163,0.009678,1154,0.009604,2927,0.024357
pwg,all,M-pos/Hi-pos/Hf-drop/G-degem,120172,10,1171,0.009744,1162,0.00967,2941,0.024473
pwg,all,M-pos/Hi-sib/Hf-slot/G-keep,120172,10,1024,0.008521,1015,0.008447,2516,0.020937
