siglum	count	ctx1	ctx2	ctx3
Āryabh.	27	Āryabh. 4. 26 (87);	Āryabh. 4. 9 (76); EI. xvii. 324. 65;	Āryabh. 1. 2 (6);
PraBh.	27	PraBh. 163. 18 ( 6. 68)	PraBh. 154. 24 ( 6. 35)	PraBh. 128. 36 ( 5. 56); GuruCandr. ii. 156. 13.
DaivaVa.	27	DaivaVa. 2. 9; SamarāSaṃ. 2. 12.	DaivaVa. 4. 5; {@2Eii@} first year of the	RājTa.(Ka.) 8. 3208; DaivaVa. 10. 8; TriṣaŚaPuC.
BṛDeśī.	26	BṛDeśi. 57. 12; BṛDeśī.	57. 13; BṛDeśī. 57. 15;	BṛDeśī. 142. 17.
Nāṭa.	26	Nāṭa. 9. 6.	MahNirVāT. 7. 94; Nāṭa. 17. 4;	. 2343; TantrSā.(K.) 46. 4; Acyutarā. 8. 37; Nāṭa. 21. 14;
ĀrṣeU.	26	occasion, at an improper time ĀrṣeU. 8. 2;	BāṣkaU. 24; ĀrṣeU. 9. 3; MahāBhā. i. 84. 15;	ĀrṣeU. 6. 5;
PrātiSū.	26	PrātiSū. 13. 18;	PrātiSū. 17. 27.	PrātiSū. 23. 1.
Mahimna.	26	Mahimna. 27;	Mahimna. 18 = YaśasCam. ii. 255. 15; {@iii@} Himālaya	PramāVāSvopVṛ. 76. 17; Mahimna. 6;
ĀryāŚ.	26	ĀryāŚ. 17;	ĀryāŚ. 36.	Kuval. 56 (26); ĀryāŚ. 7;
BhaktiRa.	26	BhāvPra.(Śā.). 173. 10 (6); BhaktiRa. 3. 17;	BhaktiRa. 1. 1.	BhaktiRa. 3. 28;
ŚeṣaNā.	26	BhāgP. iii. 19. 2; ŚeṣaNā.	is unbroken) ŚeṣaNā. 1586.	ŚeṣaNā. 1649 = AbhidhāCin. App. 106 (p. 432);
AdhyāU.	26	AdhyāU. 7 = ViveCū. 290;	AdhyāU. 66;	AdhyāU. 58; NyāyVār. 342. 9 ( iii. 1. 1);
KirātāVyā.	26	PāṇḍaC. 11. 98; 5. 141; KarpūC. 7; KirātāVyā. 33 (5); Moha-	KirātāVyā. 1.	2. 46; KirātāVyā. 2;
KuC.	26	KuC. 357; CaitaCa. 217. 1;	KuC. 106. 14.	KuC. 102. 3; ViṣṇuDhaP. ii. 37. 6;
Cārud.	26	Cārud. 1. 25 (9); ŚatTrayī. 150;	Cārud. 3. 7; DaśKuC. 135. 23;	Cārud. 1. 22 (15); DūtVā. 4 (23); PañcRā. 1. 17 (4)
NSP.	26	wonder (v. l. NSP. Ed.) UttaRāC.	(NSP. 1949)	PraboCan. 5. 16 (185. 4) (NSP. Ed. 1935)
NātyaŚā.	25	40. 25; NātyaŚā. 1. 83;	ted: NātyaŚā. 28. 22;	thing ( ) NātyaŚā.
BodhiCaPañ.	25	6. 40); BodhiCaPañ. 24. 26;	125. 8; BodhiCaPañ. 261. 1;	the pupil of the eye BodhiCaPañ. 197. 31;
Arch.	25	array NītiPra. 6. 5; {@5@} (in Arch.) ear-shaped	1872; (in Arch.) ear-shaped moulding	18. 69; (Arch.) the front tooth (of a joint)
PālaGoKa.	25	PālaGoKa. 223.	PurāPraSaṃ. 13. 19; PālaGoKa. 38; NītiMañ. 47; ManvaMu.	PālaGoKa. 26.
HevajraT.	25	HevajraT.	with (viz. HevajraT. i. 2. 1)	HevajraT. i. 10. 26.
ŚivPāKeSt.	25	ŚivPāKeSt. 6; TilaMañ.	ŚivPāKeSt. 18.	ŚivPāKeSt. 5; HarVi. 2. 14; {@2@} dependent
LomŚi.	25	PāṇiŚi. 27; LomŚi. 1. 8;	14. 1; 14. 6; 15. 1; LomŚi.	PāṇiŚi. 24 = LomŚi. 3. 7; ŚaiśiŚi. 49.
VaDuU.	25	VaDuU. 434. 3;	VaDuU. ii. 437. 1;	(678. 3) = VaDuU. ii. 440. 2 = ii. 445. 7 = ii. 450. 10 = ii.
KāBh.	25	KāBh. 93. 12 ( ii. 3. 13); 107. 21 ( ii. 4. 23);	KāBh. 103. 24 ( ii. 4. 4)	KāBh. 127. 3 ( iii. 1. 26)
SaṃnyāU.	25	SaṃnyāU. 2. 23.	SaṃnyāU. 2. 24 = YogVā. v. 34. 68.	SaṃnyāU. 2(92); BaudhŚS. iii.
KauhaŚi.	25	KauhaŚi. 3; MāṇḍūŚi. 2. 12;	KauhaŚi.	KauhaŚi. 9; {@ii@} of the size of an atom,
ChandoMañ.	25	ŚārṅgaPa. 2065; ChandoMañ. 2. 40;	ChandoMañ. 2. 121.	ured garment ChandoMañ.
EkārthaNā.	24	ViśvaLok. 407. 9; NānārthāSaṃ. i. 6. 1; EkārthaNā. 1. 2; NānārthaMa. 11; 12;	19; EkārthaNā. 1. 16;	has been mentioned as a synonym of {@ @} (EkārthaNā. 1. 14) and of
NāmaMā.	24	. 58; ParyāŚaRa. 1. 84; AnekāTi. 1. 8; 1. 5; NāmaMā. 7; Tantrābhi.	brother, NāmaMā.(Dha.) 43; ŚabdaRa.(Su.) 3. 144.	21. 9; ŚabdaRa.(Su.) 3. 186; NāmaMā. 103; = AnekāSa. 325];
AnekāNi.	24	dhāRaMā. 1. 35; AnekāNi. 148; etc. {@2@} name of a guardian deity at	SthānṬ. 49B. 14; AnekāNi. 76; AnekāTi.	AnekāNi. 105;
Sī.	24	PariVṛ(Sī.) 37. 14;	(Sī.) 16. 18; Prasā. i. 142. 18; PāṇiTaVāNaMā. 14	(Sī.) 158. 11;
Malli.	24	KumāSam. 8. 80 reads (Malli.	ŚiśuVa. 19. 113 (Malli. );	Kirātā. 15. 45 (Malli.
SvopVṛ.	24	SvopVṛ. 92. 7.	PramāVār. (SvopVṛ. Ed.) 1. 78; 1. 85.	SvopVṛ. 26. 2.
PraśnoRaMāli.	24	KuṭṭaMa. 380; PraśnoRaMāli. 2;	PraśnoRaMā. 16 = PraśnoRaMāli. 21.	1. 240); PraśnoRaMāli. 57;
Mī.	24	Mī. 2. 3 ( i. 1. 1); KumāDeCa.(So.)	Mī. 83. 9.	Mī. 31. 11; Kāvyānu.(He.) 170. 1;
DaKau.	24	DaKau. 33. 23; 34. 13; BhāṭṭCin. i. 21. 2 ( i.	DaKau. 5. 10; {@3C@} without any attribute MahāBh	DaKau. 55. 26.
BhaktiSū.	24	BhavāBhu. 13; BhaktiSū.(Nā.) 3. 39;	comm. ĀpaŚS. ix. 3. 3; BhaktiSū.(Śā.) ii. 1. 21; {@i@}	BhaktiSū.(Nā.) 1. 10; 1. 9; {@i@} because of being the sa
GaṅgāL.	23	Va. 3. 4; GaṅgāL. 34; two negatives made of are	GaṅgāL. 5; 45; Mukundā. 22 (7)	GaṅgāL. 11.
BrahmaSūBh.	23	NītiMā. 36. 2; BrahmaSūBh.	BrahmaSūBh.(Śaṅ.) 339. 13 ( ii. 1. 31); AitUBh.(Śaṅ.) 271. 14	7. 16); BrahmaSūBh.(Śrī.) ii. 360. 1 ( iii.
TārāŚa.	23	TārāŚa. 54.	TārāŚa. 185.	TārāŚa. 29.
KalyāMaSt.	23	seed KalyāMaSt. 14; BhāvPra-	KalyāMaSt. 30;	{@ii@} of imperishable nature, KalyāMaSt. 30.
SvātmPra.	23	pure) consciousness SvātmPra.	ciousness SvātmPra. 29;	SvātmPra. 32;
MaitreU.	23	MaitreU. 3 (20);	MaitreU. 3 (20)	sists of unlimited bliss MaitreU. 3. 8.
Jo.	23	(Jo.) 728; 821.	(Jo.) 1126;	RājTa. (Jo.) 868.
BhasmJāU.	23	MahāBhā. iii. 165. 13; BhasmJāU. 566. 5;	BhasmJāU. 564. 12; JānaHa.	BhasmJāU. 562. 23;
SāSaṃ.	22	SāSaṃ. 0. 42. {@7A@} name of a king (v. l. )	SāSaṃ. 3. 19.	SāSaṃ. 798; LalitāTriBh. 266. 10
Math.	22	? ); {@Ei@} (Math.) numerator	mild, not cruel {@B@} (Math. Astron.) calculable, correct {@4@} not barre	¦ (ajñātakṣaya-ka) (Math.) that (proportion of a
ĀtmaBo.	22	SūryŚ. 90; ĀtmaBo. 7. 43; MahāP. 27. 89;	ĀtmaBo. 36;	ĀtmaBo. 8; SarvaVeSāSaṃ. 2 =
Nīla.	22	(Nīla. MahāBhā. xii. 122. 32;	MahāBhā. xii. 71. 3 (Nīla. )	MahāBhā. v. 157. 10 (Nīla. ); {@Aiv@} free
DarpaDa.	22	DarpaDa. 3. 1;	faultless DarpaDa. 1. 30.	DarpaDa. 5. 41; KathāSa-
Pā.	22	Pā. 54. 22 ( i. 1. 1); 57. 19 ( i. 1. 1); BṛĀr	Pā. 40. 6 ( i. 1. 0)	(Pā.) 7. 2; GaṇRa. 7. 390] {@1Ai@} sprout, shoot,
PrajāSm.	22	NāṭyaŚā. 23. 62; PrajāSm. 39;	PrajāSm. 1. 63;	PrajāSm. 1. 30.
TattvāRāVār.	22	TattvāRāVār. viii. 9. 3.	TattvāRāVār. viii. 9. 4.	TattvāRāVār. iii. 36. 3
LoK.	22	LoK. 291. 91.	LoK. 336. 43; ŚabdaRaSaK. 300. 8.	LoK. 289. 74.
MadhyaVyā.	22	1. 13; MadhyaVyā. 1. 9; BālC. 1. 28; [v. l. for	MadhyaVyā. 1. 2 (4);	MadhyaVyā. 1. 21;
BodhiCa.	22	BodhiCa. 2. 5;	21. 5; BodhiCa. 9. 47;	BodhiCa. 2. 8; an-
SaBh.	22	SaBh. 117. 29 ( 151)	SaBh. 25. 22.	SaBh. 97. 20 ( 130); AlaṅkāMañ.
Cū.	22	Cū. 489; BṛĀraUBhVā.(Sambandha.)	Cū. 2. 2; (the sage Sanatkumāra)	Cū. 3. 31 (3);
RaSaK.	22	RaSaK. 32. 19 (emended to )	RaSaK. 263. 5.	RaSaK. 158. 7; ParyāŚaRa. 2. 664; {@C@} pertaining
HariStu.	22	(Nā.) iv. 3. 26; HariStu. 39;	HariStu. 26; {@2@} the elements (like earth, water,	HariStu. 39.
Spr.	22	Ind. Spr. 3503.	Ind. Spr. 2706.	Spr. 156 ; {@C@} performance of works not sancti
Ha.	21	119. 6; (Ha.) 48. 10; (He.) 136. 13 and Kośas: AmaK. 1230	ParaNā. 795; DvirūK (Ha.) 136; NāmMā. 25.	19. 56; PāñcaRā(Ha.) i. 12. 8; PāñcaRā.(Nā.) iii. 14. 69;
ChāndoUBr.	21	= VājaS 20. 14 = ChāndoUBr. ii. 2. 8; MānŚS. 53. 21;	ChāndoUBr. ii. 4. 2;	ŚatBr. I. i. 1. 3; ChāndoUBr. i. 6. 9; ĀśvaŚS. I. iii. 12. 13;
Yogācā.	21	Yogācā. 42. 4;	Yogācā. 76. 4;	Yogācā. 79. 4.
VāsuVi.	21	VāsuVi. 2. 8 (comm.	VāsuVi. 3. 16.	VāsuVi. 1. 47; {@Cii@}
Tīrtha.	21	VīraMi. (Tīrtha.) 15. 23; {@C@} caused or brought about	(Tīrtha.) 590. 4.	VīraMi. (Tīrtha.) 391. 7; LalitāSaBh.
VārPari.	21	VārPari. 52. 4.	VārPari. 447. 14; Rāvaṇā. 23. 13;	VārPari. 643. 8; PratyabhiVi. ii. 61. 9
Viṣāpahā.	21	Viṣāpahā. 19; NaiṣC.	Viṣāpahā. 22; AnuVyā. 31A. 7	21. 83; BrahmP. 244. 22; 244. 39; Viṣāpahā. 35; PāṇḍaC. 6. 264; (abstract
Dūtāṅg.	21	Dūtāṅg. 32;	Dūtāṅg. 10; CaturCin. ii(1). 466. 8;	sence (of) Dūtāṅg. 36 (1); {@5@} next, later, in
SūryaSi.	21	SūryaSi. 3. 14;	SūryaSi. 12. 42;	MāṭhVṛ. 8. 25 ( 2); SūryaSi.
AnekāMañ.	21	AbhidhāRaMā. 274; {@13@} AnekāMañ. 81; {@14@}	AnekāMañ. 81; {@15@} NānārthāSaṃ. 1. 44; NānārthSaṃ.	AnekāMañ. 191; Vaija. 224. 2; 97. 168;
DevaBr.	21	to the Sāman-chant DevaBr. 1. 10.	DevaBr. 3. 23; {@ii@} devoid of songs, without songs	ṢaḍviBr. i. 1. 4; DevaBr. 2. 7;
DvyakṣaNā.	21	DvyakṣaNā. 2. 104;	DvyakṣaNā. 2. 110.	NānārthāSaṃ. i. 56. 160; Vaija. 240. 19; DvyakṣaNā. 1. 17;
DṛṣṭāKaŚ.	21	DṛṣṭāKaŚ. 8.	MalliC. 1. 359; DṛṣṭāKaŚ. 66;	DṛṣṭāKaŚ. 53; YātrāPra. 2. 26 (1); GopāKeCan. 48. 6;
KumāDePra.	21	0. 29; v. 81. 48; vii. 882*(1); xviii. 5. 8; KumāDePra. 56. 1; Rāgh. 2. 51.	KumāDePra. 112 + 5. 19; KaṃVa.	KumāDePra. 112 (22). 2;
KathāŚloSaṃ.	21	KathāŚloSaṃ. 4. 92; {@3@} son	KathāŚloSaṃ. 22. 112; ParaS. 19. 65;	KathāŚloSaṃ. 14. 58;
CaurPañ.	21	CaurPañ.(Pariśiṣṭa 1) 31 =	CaurPañ. 110	CaurPañ. 119(KM. part 13);
ArthaŚā.	20	ArthaŚā. ii. 31. 5 (3. 5); {@C@} sprung	ArthaŚā. ii. 154. 4 (4. 8);	ArthaŚā. i. 45. 5 (1. 9);
BrahmViU.	20	BrahmViU. 83;	6; BrahmViU. 81; 83; MahāBhā. i.	DhyānBiU. 63; BrahmViU. 78;
Vaṃ.	20	Vaṃ. 7. 20 = BrahmP. 5. 23; ŚivaP. v. 34. 26 (445	Vaṃ. 109. 50; BrahmāṇḍP. ii. 7. 201; YājñaSm.	Vaṃ. 98. 16; HariVaṃ. 25. 7 = BrahmP.
SaK.	20	SaK. 345. 8.	SaK. 122. 8; ParyāŚaRa. 2. 263; PañcTaPra. 2. 27.	SaK. 332. 13.
ĀpiŚi.	20	YājñaŚi. 209; ŚaiśiŚi. 47; ĀpiŚi. 3. 12;	ĀpiŚi. 4. 2;	ĀpiŚi. 8. 14; PāṇiŚi. 20;
KuA.	20	KuA. i. 111. 2; YogVā. ii. 19. 33;	KuA. i. 90. 2; ŚatDū.	KuA. ii(1). 236. 5; NyāyVārPari. 180. 7;
MimāKau.	20	MimāKau. ii. 88. 15 ( ii. 3. 24); iii(1).	MimāKau. iii(2). 220. 8 ( ii. 2. 18); BhāṭṭCin.	BrahmP. 116. 12; VidhiRa. 2 (10. 12); MimāKau. ii. 197. 2 ( iii. 1. 20)
LaViṣṇuSm.	20	LaViṣṇuSm. 3. 1.	GautDS. i. 3. 7; LaViṣṇuSm. 2. 4;	LaViṣṇuSm. 2. 9.
Ni.	20	Ni. 202. 1; AbhidhāMañ. 272. 3; AnekāSaṃ. 2. 543	Ni. 77. 4; RājNi. 77. 11; ŚesaNā. 1646; SaḍrasaN	Ni. 92; ParyāŚaRa. 2. 292; ŚabdaRa.(Vā.) 1422; P
Ke.	20	(Ke.) 36. 3; NyāySu.(Ja.)	(Ke.) 39. 2.	(Ke.) 59. 13;
CaturDī.	20	piece (in chess) is not hurt) CaturDī.	CaturDī. 15. 19.	CaturDī. 3. 9; ŚivS.
KarṇaBhā.	20	KarṇaBhā. 13 (1); AhirbuS. 2. 32;	KarṇaBhā. 9 (5);	KarṇaBhā. 20(9); LaŚātāSm 172; MatsyaP.
DharmaP.	20	DharmaP. i. 16. 14; BhaviP. 362A. 3 (ii(2). 8. 124)	DharmaP. i. 35. 32; JānaPa. 5. 11;	DharmaP. ii. 5. 11;
UpādhiKha.	20	UpādhiKha. 1B. 2.	butes UpādhiKha. 1B. 1;	UpādhiKha. 1B. 2 (238B. 2); PratāYaBhū. 441. 3;
YogKuU.	20	MuktiU. 2. 72; YogKuU. 3. 35;	heated crucible YogKuU. 1. 76.	ParāTri.(comm.) 206. 3; YogKuU. 3. 18.
BhārPiMe.	20	BhārPiMe. i. 1. 11-13 = HirPiMe. xxviii. 1. 1; BhārPiM	ārPiMe. i. 1. 11-13 = HirPiMe. xxviii. 1. 1; BhārPiMe. i. 3. 13 =	GS. iii. 7. 4 (158. 20); BhārPiMe.
PāramāU.	20	PāramāU. 9. 5 (comm.	PāramāU. 10. 7; {@2@} not pierced, not wounded	PāramāU. 6. 4; 8. 8; 10. 3;
PramāVā.	19	PramāVā. 2. 37;	PramāVā. 1. 153;	PramāVā. 1. 59.
GaṇiNā.	19	GaṇiNā. 99;	GaṇiNā. 56.	GaṇiNā. 20;
LaBhāska.	19	LaBhāska. 7. 1; KhaṇḍKhā. 2. 16;	latitude LaBhāska. 3. 3;	LaBhāska. 3. 16.
KarpūC.	19	KarpūC. 12.	KarpūC. 7.	PāṇḍaC. 11. 98; 5. 141; KarpūC. 7; KirātāVyā. 33 (5); Moha-
KhaḍgaŚ.	19	KhaḍgaŚ. 28.	KhaḍgaŚ. 38 (comm. )	KhaḍgaŚ. 90; {@D@} pro-
VedaVyāSm.	19	VedaVyāSm. 4. 50; {@B@} free from rivals or enemies	VedaVyāSm. 3. 53;	VedaVyāSm. 3. 56.
TripuTāU.	19	TripuTāU. 535. 4.	SūryU. 510. 10; TripuTāU. 539. 11;	TripuTāU. 536. 9; name of an attendant of Śiva
SevyaSev.	19	SevyaSev. 44;	SevyaSev. 13.	( i. 1. 5); SevyaSev. 57;
ŚivārkaMaDi.	19	ŚivārkaMaDi. i. 85. 26 ( i. 1. 1);	ŚivārkaMaDi. i. 483. 6 ( i. 3. 36);	ŚivārkaMaDi. i. 52. 23 ( i. 1. 1);
CāndrVyā.	19	tolerance CāndrVyā. vi. 2. 17 (comm.	CāndrVyā. v. 2. 81; ŚākaṭāVyā. ii. 2. 77; Kātan.	ĀśvaŚS. I. ii. 9. 13; MānŚS. ii. 10. 3; CāndrVyā. ii.
ŚukSa.	19	ŚukSa.	TārāŚa. 186; ŚukSa. 32. 32;	ŚukSa. 25. 24.
BṛJābāU.	19	hotra BṛJābāU. 5. 3;	BṛJābāU. 3. 34.	BṛJābāU. 2 (15)
DhūrtaSa.	19	DhūrtaSa. 83. 4;	DhūrtaSa. 87. 16; SārṅgaPa. 3478; UjjvaNīMa.	of Acyuta DhūrtaSa. 76. 5.
Bharatakośa.	19	Bharatakośa.	[Bharatakośa. 5;	Bharatakośa.
JābālaDaU.	19	JābālaDaU. 3. 4.	JābālaDaU. 5. 14.	4. 16; JābālaDaU. 6. 36; BilvU. 305. 6;
MaitrīU.	19	iii. 14. 3; MaitrīU. 463. 4 (7); KaivaU. 1. 20;	darkness (i. e. nescience) MaitrīU. 428. 8 (6) (comm.	MaitrīU. 419. 24 (6);
SūryŚ.	18	CaṇḍīŚ. 13; SūryŚ. 26;	SūryŚ. 7;	SūryŚ. 45; {@2@} falling in of a minute part
MukuMā.	18	MukuMā. 9.	MukuMā. 33;	MukuMā. 9 (3); Kāvyālaṅ.(Ru.) 2. 28;
SāC.	18	SāC. 7. 12.	SāC. 1. 35.	SāC. 16. 67; PadmP. iv. 36. 46; iv. 11. 16;
Trayī.	18	Trayī. 181; {@D@} devoid of organs	Trayī. 227 = SaduktiKa. 317. 13 = Ekāva. 3. 1 (102.	Trayī. 515.
NaMā.	18	NaMā. 291. 15; ŚivārkaMaDī. i. 25. 10 ( i. 1. 1);	NaMā. 12. 11; LaŚabdeŚe. i. 185. 17;	NaMā. 277. 6;
GitāBh.	18	action GitāBh.	GitāBh.	GitāBh.(Śaṅ.) 23. 17 ( 2. 11)
AmoghŚi.	18	AmoghŚi. 29; NāraŚi. ii. 1. 3; PārāŚi. 82; BhārŚi. 2;	PārāŚi. 3; AmoghŚi. 79.	PārāŚi. 55; 53; 57; AmoghŚi. 36;
LikhiSm.	18	LikhiSm. 20; {@1Avii@} not properly done	LikhiSm. 51;	LikhiSm. 68; {@2@} cremator BrahmVaiP.
NyāPra.	18	NyāPra. 219. 5.	NyāPra. 252. 20; {@ii@} the state of excluding or se	NyāPra. 250. 33; BhāṭṭCin. ii. 53. 17 ( i.
LaHārīSm.	18	LaHārīSm. 103;	LaHārīSm. 24.	(v. l. ) LaHārīSm. 59;
AkṣU.	18	CākṣU. ii. 22. 9; AkṣU. 1.	( 2. 38); AkṣU. 42; SāmaraU. 235. 16;	AkṣU. 14.
St.	18	St. 2.	St. 24.	eight and seven syllables respectively, Ind. St. 8. 239;
TattvārthāSū.	18	of Bhavanavāsin gods called Agnikumāras (cf. TattvārthāSū.	TattvārthāSū. 5. 1;	TattvārthāSū. 7. 16;
AnarghRā.	18	ŚiśuVa. 9. 80; AnarghRā. 7. 82 (5);	AnarghRā. 1. 28;	PañcT. 2. 53 (241. 1); AnarghRā.
GiMS.	18	GiMS. iii(2). 25. 7;	GiMS. iii(1). 36. 16; KāśyaS.	greatly frightening GiMS. iii(1).
KSS.	18	Kād. 222. 16; ( KSS. 29, 1929)	KSS. 29. 1929)	319. 1 ( 3. 6); Loc. (KSS. Ed.) 321. 11 (
KāśiVr.	17	PadaMañ. KāśiVr. P. i. 4. 90;	iv. 4. 16; KāśiVr. iv. 4. 16; GaṇRa. 6. 379 (406); GaṇPā. 169	( ii. 1. 3); PadMañ. KāśiVr. P. iii. 3. 72;
DeC.	17	DeC. 14. 28; ĪśānŚiPa. i. 7. 35; ii.	DeC. 13. 61; {@12@} undisturbed	DeC. 18. 108; SubhāRaK. 4. 33;
NānārthaSaṃ.	17	viii) AnekāSaṃ. 1. 9. ix) NānārthaSaṃ. 83. 56.	NānārthaSaṃ. 33. 24 (?)	Vaija. 270. 58; NānārthaSaṃ. ii. 56. 112.
KātyāŚS.	17	KātyāŚS. vii. 2. 25.	KātyāŚS. xxv. 1. 2 (comm.	KātyāŚS. xvi. 1. 1;
ŚivBhuSt.	17	ŚivBhuSt. 23. 35.	ŚivBhuSt. 18.	275. 12 (10); ŚivBhuSt. 1. 4;
TantraVā.	17	12. (8); TantraVā. 160. 7 ( i. 3. 9);	TantraVā. 495. 10 ( ii. 2. 16); ŚāstrDī. 65. 10 ( i.	TantraVā. 349. 6 ( ii. 1. 1);
BṛDharmP.	17	BṛDharmP. ii. 6. 88.	BṛDharmP. i. 1. 39;	BṛDharmP. i. 53. 6; {@6@} name of a woman created by
ManoDū.	17	ManoDū. 38.	ManvaMu. 71. 6 ( 2. 179); ManoDū. 109; ŚabdaRaSaK. 194. 17; Śṛṅgā-	ManoDū. 77.
MaKā.	17	MaKā. 1. 43.	MaKā. 6. 62.	MaKā. 12. 52.
DevīCatuSt.	17	DevīCatuSt. 8;	DevīCatuSt. 68;	māṇḍP. ii. 50. 27; DevīCatuSt.
PadārthaTaNi.	17	PadārthaTaNi. 49. 2-4; PadārthaTaNi.	PadārthaTaNi. 49. 2-4; PadārthaTaNi.	PadārthaTaNi. 15. 1-3 (LI)
HāsyCū.	17	RāghPāṇ.(Ka.) 13. 21; HāsyCū. 125. 14;	HāsyCū. 129. 17.	JñātāDhaṬ. 23A. 3; HāsyCū.
YogSūVṛ.	17	YogSūVṛ. 1. 51;	Ka. 334. 19 ( ii. 4. 12); YogSūVṛ.	YogSūVṛ. 1. 29;
Philo.	17	¦ (akhyāti-pakṣa) (Philo.) the theory of Akhyāti(as	¦ (akhyāti-mata) (Philo.) the theory of Akhyāti	¦ (akhyāti-vāda) (Philo.) the theory of Akhyāti(as
MuktiU.	17	MuktiU. 2. 72; YogKuU. 3. 35;	MuktiU.	MuktiU. 2. 30.
YamaSm.	17	53. 1; DakṣaSm. 3. 11; YamaSm.	YamaSm. 1;	YamaSm. 1. 32;
MāhāBhā.	17	blindness) MāhāBhā. i. 129. 14.	MāhāBhā. xv. 45. 38;	MāhāBhā. viii. 68. 62;
Nī.	17	Nī. (4)7. 209.	Nī. 4 (7). 210; {@2@} offering gold	Nī. 4 (4). 58; AnekāSaṃ. 3. 18; [the prayer used
KaṭhRuU.	17	KaṭhRuU. 1=KaṭhŚrU. 2 (3);	KaṭhRuU. 27.	KaṭhRuU. 26.
KaS.	17	KaS. 41. 3; ŚatBr. III. vii. 1. 13 (Sāy. );	KaS. 4. 5; MaiS. i. 5. 12; ĀpaŚS. vi.	KaS. 31. 18; MaiU. 6. 5;
Bo.	17	Bo. 8. 33 (83. 10); 18. 2 (123. 8)	Bo. 4. 21 (43. 17) (comm.	Bo. 6. 61 (61. 19)
BālamBhā.	17	BālamBhā. i. 11. 18 ( 1. 6)	254. 23; BālamBhā. i. 94. 16 ( 1. 24)	NirṇaSi. 196. 22 = BālamBhā. i. 14. 30 ( 1. 11);
TattvāBh.	17	TattvāBh.	Siddhasena TattvāBh. 6. 7.	TattvāBh. 242. 17 ( 3. 4); KumāSaṃ.
ChāgU.	17	ChāgU. 2. 1; 2. 3.	ChāgU. 6. 9; Śāṅkhā-	ChāgU. 1. 3;
GORR.	17	Rāmā. iv. 20. 10 (GORR.)	(GORR.) (cf. (v. l. for ii. 62. 13)	Rāmā. iv. 44. 64. (GORR.)
TaKau.	17	TaKau. 213. 6 ( 7); BhaviP. 73B. 14	TaKau. 344. 2 ( 23);	TaKau. 215. 4 ( 7);
UddhāK.	16	UddhāK. 5. 5.	UddhāK. 1. 16; 2. 3; {@1@} name of a city	UddhāK. 3. 2.
L.	16	as a meaning found in L. {@9@} ( ) in part, partly,	Mānaso. ii. 3. 221. {@5@} a day (L.)	AśvaVai. 32. 26; {@ii@} the hump of a bull (L.)
KumāSam.	16	garment KumāSam. 1. 14;	KumāSam. 15. 30;	KumāSam. 9. 19;
Hṛ.	16	Hṛ. vi. 27. 40; SiddhaYo. 22. 104; BhāvPra.(Bhā.	Hṛ. 37. 7 (16); KathāSaSāg. ii. 6. 57; MālinīT.	Hṛ. i. 7. 25; AvantiSuKa. 65. 6; VāsaDa. 191. 2;
KāvyaKaVṛ.	16	KāvyaKaVṛ. 32. 17 (2. 1); {@B@} (of	TriṣaŚaPuC. i. 1. 310; KāvyaKaVṛ. 87. 1	KāvyaKaVṛ. 118. 29 (4. 2);
ĀnandaRa.	16	LakṣmīT. 42. 14; LakṣmīT. 50. 160; ĀnandaRa.	ĀnandaRa. 3. 19.	ĀnandaRa. 8. 0 (2)
BhārArthaPra.	16	BhārArthaPra. v. 42. 20; Lakṣābha. v. 42. 20.	33. 30; MahāBhā. v. 157. 10; BhārArthaPra. v. 33. 30; {@D@} sinful or evil	BhārArthaPra. MahāBhā. v. 75. 14.
ĀraUBh.	16	ĀraUBh. 163. 6 ( i. 4. 17); BṛĀraUBh.	ĀraUBh. 290. 13 ( ii. 3. 6)	ĀraUBh. 388. 8 ( iii. 3. 1);
Ṭ.	16	Ṭ.(Vā.) 156. 14 ( i. 1. 5); SāṃkhyaTaKau. 127. 1 (	Ṭ.(U.) 308. 21 ( 5 (5). 12);	Ṭ.(U.) 75. 18 ( 2. 119);
LaŚaṅkhaSm.	16	1. 7; LaŚaṅkhaSm. 46; BṛYamaSm. 3. 65; BṛParāSm. 8. 172;	LaŚaṅkhaSm. 58; ŚābaBh. 111. 3 (	LaŚaṅkhaSm. 5;
VṛŚātāSm.	16	BrahmP. 7. 49; VṛŚātāSm. 66 (235); {@1Av@} not stipulated or specifie	VṛŚātāSm. 63; ViṣṇuP. i. 9. 63;	ParāSm. 11. 30; BṛParāSm. 9. 26; VṛŚātāSm. 6; half the thumb
VyāḍiPari.	16	VyāḍiPari. 6; 7; PariVṛ.(Sī.) 166. 7;	( i. 4. 2); VyāḍiPari. 80; PariVṛ.(Nī.) 28. 1; PariVṛ (Sī.) 128. 9;	ii. 359. 21 ( v. 1. 84); VyāḍiPari. 16;
ViKā.	16	ViKā. 3. 38.	ViKā. 14. 22; {@1C@} not familiar with, inexperien	ViKā. 9. 43; {@3@} consisting of whole numbers, re
NāḍīVi.	16	) NāḍīVi. 34.	PṛthvīVi. 7. 33; NāḍīVi.	NāḍīVi. 17;
PhiṭSū.	16	the part (like etc.) PhiṭSū. 43;	PhiṭSū. 56; Vār. 1	vi. 3. 9; viii. 4. 7; PhiṭSū. 29; MahāBh. i.
